x (mm),y (mm),x (m),y (m), pos_x ,pos_y,n
-57980.3634,11410.0269,-57.9803634,11.4100269,32.0196366,11.4100269,1
-57980.3634,10010.0269,-57.9803634,10.0100269,32.0196366,10.0100269,2
-56701.5271,8290.0935,-56.7015271,8.2900935,33.2984729,8.2900935,3
-57980.3634,12810.0269,-57.9803634,12.8100269,32.0196366,12.8100269,4
-55486.7147,12810.0269,-55.4867147,12.8100269,34.5132853,12.8100269,5
-55486.7147,11410.0269,-55.4867147,11.4100269,34.5132853,11.4100269,6
-55486.7147,10010.0269,-55.4867147,10.0100269,34.5132853,10.0100269,7
-52150.6051,12810.0269,-52.1506051,12.8100269,37.8493949,12.8100269,8
-54644.2538,10010.0269,-54.6442538,10.0100269,35.3557462,10.0100269,9
-53365.4175,8290.0935,-53.3654175,8.2900935,36.6345825,8.2900935,10
-51309.5334,12775.5403,-51.3095334,12.7755403,38.6904666,12.7755403,11
-54644.2538,11410.0269,-54.6442538,11.4100269,35.3557462,11.4100269,12
-52150.6051,11410.0269,-52.1506051,11.4100269,37.8493949,11.4100269,13
-52150.6051,10010.0269,-52.1506051,10.0100269,37.8493949,10.0100269,14
-54644.2538,12810.0269,-54.6442538,12.8100269,35.3557462,12.8100269,15
-58276.253,4859.9389,-58.276253,4.8599389,31.723747,4.8599389,16
-62442.7958,10010.0269,-62.4427958,10.0100269,27.5572042,10.0100269,17
-64936.4445,10010.0269,-64.9364445,10.0100269,25.0635555,10.0100269,18
-63657.6083,8290.0935,-63.6576083,8.2900935,26.3423917,8.2900935,19
-64936.4445,11410.0269,-64.9364445,11.4100269,25.0635555,11.4100269,20
-64936.4445,12810.0269,-64.9364445,12.8100269,25.0635555,12.8100269,21
-62442.7958,12810.0269,-62.4427958,12.8100269,27.5572042,12.8100269,22
-62442.7958,11410.0269,-62.4427958,11.4100269,27.5572042,11.4100269,23
-59106.6863,12810.0269,-59.1066863,12.8100269,30.8933137,12.8100269,24
-61600.335,10010.0269,-61.600335,10.0100269,28.399665,10.0100269,25
-60321.4987,8290.0935,-60.3214987,8.2900935,29.6785013,8.2900935,26
-62010.2677,4859.9389,-62.0102677,4.8599389,27.9897323,4.8599389,27
-59106.6863,10010.0269,-59.1066863,10.0100269,30.8933137,10.0100269,28
-61600.335,12810.0269,-61.600335,12.8100269,28.399665,12.8100269,29
-61600.335,11410.0269,-61.600335,11.4100269,28.399665,11.4100269,30
-59106.6863,11410.0269,-59.1066863,11.4100269,30.8933137,11.4100269,31
-51309.5334,11375.5403,-51.3095334,11.3755403,38.6904666,11.3755403,32
-46321.5601,6476.2015,-46.3215601,6.4762015,43.6784399,6.4762015,33
-46321.5601,7876.2015,-46.3215601,7.8762015,43.6784399,7.8762015,34
-43827.9114,7876.2015,-43.8279114,7.8762015,46.1720886,7.8762015,35
-33334.1393,7745.1374,-33.3341393,7.7451374,56.6658607,7.7451374,36
-62673.2835,16304.9923,-62.6732835,16.3049923,27.3267165,16.3049923,37
